Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
19046339,Van Gogh (German Edition),Jp. A. Calosse,"Calosse, Jp. A.",,,9781781607268,0,0.0,Parkstone International,Kindle Edition,104,2011,2011,,2018/10/24,to-read,to-read (#83),to-read,,,,0,,,0,,,,,
17768125,Miro,Jp. A. Calosse,"Calosse, Jp. A.",,1283954672,9781283954679,0,0.0,Parkstone Press,ebook,81,2011,2011,,2018/10/24,to-read,to-read (#82),to-read,,,,0,,,0,,,,,
23096303,Pablo Picasso : 1881-1914,Jp. A. Calosse,"Calosse, Jp. A.",,1780425449,9781780425443,0,4.00,Not Avail,Unknown Binding,81,2014,2014,,2018/10/24,to-read,to-read (#81),to-read,,,,0,,,0,,,,,
19225958,Léonard de Vinci (French Edition),Jp. A. Calosse,"Calosse, Jp. A.",,,9781781606919,0,4.00,Parkstone International,Kindle Edition,100,2011,2011,,2018/10/24,to-read,to-read (#80),to-read,,,,0,,,0,,,,,
23011565,Goya,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,3.67,Parkstone International,Kindle Edition,380,2014,2005,,2018/10/24,to-read,to-read (#79),to-read,,,,0,,,0,,,,,
21289797,Picasso,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,4.12,Parkstone International,Kindle Edition,111,2011,2011,,2018/10/24,to-read,to-read (#77),to-read,,,,0,,,0,,,,,
21300282,Mondrian,Jp. A. Calosse,"Calosse, Jp. A.",,,,0,3.33,Parkstone International,Kindle Edition,106,2011,2011,,2018/10/24,to-read,to-read (#78),to-read,,,,0,,,0,,,,,
7932749,Gaugin,Jp. A. Calosse,"Calosse, Jp. A.",,9583021962,9789583021961,0,3.67,Panamericana Editorial,Hardcover,256,2008,2008,,2018/10/24,to-read,to-read (#76),to-read,,,,0,,,0,,,,,
34454,The Private Lives of the Impressionists,Sue Roe,"Roe, Sue",,0060545585,9780060545581,0,3.93,Harper,Hardcover,368,2006,2006,,2018/10/24,to-read,to-read (#75),to-read,,,,0,,,0,,,,,
1165399,Bosch,Walter Bosing,"Bosing, Walter",,3822858560,9783822858561,0,4.24,Taschen,Paperback,96,2001,1987,,2018/10/24,to-read,to-read (#74),to-read,,,,0,,,0,,,,,
772976,Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,"Kettenmann, Andrea",,3822859834,9783822859834,0,4.17,Taschen,Paperback,96,1999,1992,,2018/10/24,to-read,to-read (#73),to-read,,,,0,,,0,,,,,
342637,Dali,Robert Descharnes,"Descharnes, Robert",Gilles Néret,3822835536,9783822835531,0,4.17,"B.Taschen Verlag,Germany",Capa dura,780,2004,1994,,2018/10/24,to-read,to-read (#72),to-read,,,,0,,,0,,,,,
16692661,Raoul Dufy,Guido Perocco,"Perocco, Guido",,,,0,3.50,Fratelli Fabbri Editori,Paperback,24,1966,1966,,2018/10/24,to-read,to-read (#71),to-read,,,,0,,,0,,,,,
164107,"Egon Schiele, 1890-1918: The Midnight Soul of the Artist",Reinhard Steiner,"Steiner, Reinhard",,3822863270,9783822863275,0,4.24,Taschen,Paperback,96,2000,1994,,2018/10/24,to-read,to-read (#70),to-read,,,,0,,,0,,,,,
777712,Salvador Dalí: 1904-1989,Gilles Néret,"Néret, Gilles",Catherine Plant,0760701105,9780760701102,0,4.11,Marboro Books,Hardcover,96,2001,1992,,2018/10/24,to-read,to-read (#69),to-read,,,,0,,,0,,,,,
901481,Vermeer: The Complete Works,Arthur K. Wheelock Jr.,"Jr., Arthur K. Wheelock",Johannes Vermeer,0810927519,9780810927513,0,4.43,Harry N. Abrams,Paperback,72,1997,1997,,2018/10/24,to-read,to-read (#68),to-read,,,,0,,,0,,,,,
1068942,Bruegel: The Complete Paintings (Basic Art),Rose-Marie Hagen,"Hagen, Rose-Marie",Rainer Hagen,3822859915,9783822859919,0,4.30,Taschen,Paperback,96,2007,1994,,2018/10/24,to-read,to-read (#67),to-read,,,,0,,,0,,,,,
420704,"Pablo Picasso, 1881-1973: Genius of the Century",Ingo F. Walther,"Walther, Ingo F.",,3822859702,9783822859704,0,4.23,Taschen,Paperback,96,2000,1990,,2018/10/24,to-read,to-read (#66),to-read,,,,0,,,0,,,,,
1278350,Vermeer: A View of Delft,Anthony Bailey,"Bailey, Anthony",,0805067183,9780805067187,0,3.91,Henry Holt and Co.,Hardcover,256,2001,2001,,2018/10/24,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
318062,Michelangelo,Gilles Néret,"Néret, Gilles",,3822859761,9783822859766,0,4.21,Taschen,Paperback,96,2000,1998,,2018/10/24,to-read,to-read (#64),to-read,,,,0,,,0,,,,,
154786,Jackson Pollock: 1912-1956,Leonhard Emmerling,"Emmerling, Leonhard",Juliane Steinbrecher,3822821322,9783822821329,0,4.22,Taschen,Paperback,96,2003,2004,,2018/10/24,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
308990,Francis Bacon: 1909-1992,Luigi Ficacci,"Ficacci, Luigi",,3822821985,9783822821985,0,4.14,Taschen,,96,2003,1999,,2018/10/24,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
259711,"Roy Lichtenstein, 1923-1997",Janis Hendrickson,"Hendrickson, Janis",,3822858609,9783822858608,0,4.06,Taschen,Paperback,96,2001,1990,,2018/10/24,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
991669,Joan Miro: 1893-1983,Janis Mink,"Mink, Janis",,3822859753,9783822859759,0,4.24,Taschen,Paperback,96,1999,1993,,2018/10/24,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
138415,"Rene Magritte, 1898-1967: Thought Rendered Visible",Marcel Paquet,"Paquet, Marcel",,3822863181,9783822863183,0,4.19,Taschen,Paperback,96,2000,1992,,2018/10/24,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
13318,Rothko,Jacob Baal-Teshuva,"Baal-Teshuva, Jacob",Mark Rothko,3822818208,9783822818206,0,4.13,Taschen,Paperback,96,2003,2003,,2018/10/24,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
