Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40603383,Vincent and Theo: The Van Gogh Brothers,Deborah Heiligman,"Heiligman, Deborah",,,,0,4.07,Henry Holt and Co.,Kindle Edition,465,2017,2017,,2018/10/24,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
91749,"Masters of Deception: Escher, Dali, and the Artists of Optical Illusion",Al Seckel,"Seckel, Al",Douglas R. Hofstadter,1402705778,9781402705779,0,4.19,Sterling,Hardcover,320,2004,2004,,2018/10/24,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
402910,Hopper,Rolf Günter Renner,"Renner, Rolf Günter",,3822859850,9783822859858,0,4.09,Benedikt Taschen Verlag GmbH,Paperback,96,2000,1990,,2018/10/24,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
101407,"The Yellow House: Van Gogh, Gauguin, and Nine Turbulent Weeks in Arles",Martin Gayford,"Gayford, Martin",,0316769010,9780316769013,0,3.93,Little Brown and Company,Hardcover,339,2006,2006,,2018/10/24,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
901680,Edvard Munch: 1863-1944 (Basic Art),Ulrich Bischoff,"Bischoff, Ulrich",,3822859710,9783822859711,0,4.08,Taschen,Paperback,96,2011,1990,,2018/10/24,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
32525,Art Through the Ages ,Helen Gardner,"Gardner, Helen","Fred S. Kleiner, Christin J. Mamiya",0155050907,9780155050907,0,3.80,Wadsworth Publishing,Hardcover,1150,2004,1926,,2018/10/24,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
857502,Concerning the Spiritual in Art,Wassily Kandinsky,"Kandinsky, Wassily",,0486234118,9780486234113,0,3.81,Dover Publications,Paperback,80,1977,1912,,2018/10/24,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
395233,The Letters of Vincent van Gogh,Vincent van Gogh,"Gogh, Vincent van","Arnold J. Pomerans, Ronald de Leeuw",0140446745,9780140446746,0,4.02,Penguin Classics,Paperback,528,1997,1914,,2018/10/24,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
114683,Wall and Piece,Banksy,"Banksy, Banksy",,1844137872,9781844137879,0,3.84,Century,Paperback,240,2006,1988,,2018/10/24,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,0452287022,9780452287020,0,3.86,Plume/Penguin,Paperback,233,2005,2000,,2018/10/24,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
